,first_name,last_name,country,phone_number,sales_contact_code,invoice_number,invoice_date,total
29,Daniel,Wilkerson,USA,+250766666622,5,583,2021-10-12,198.0
30,Mark,Martinez,Finland,+250766666617,4,98,2022-07-04,1682.9999999999998
31,Mark,Martinez,Finland,+250766666617,4,128,2020-10-03,1089.0
32,Mark,Martinez,Finland,+250766666617,4,129,2021-03-05,495.0
33,Mark,Martinez,Finland,+250766666617,4,166,2021-04-10,396.0
34,Mark,Martinez,Finland,+250766666617,4,207,2021-12-19,1089.0
35,Mark,Martinez,Finland,+250766666617,4,288,2021-08-27,891.0
36,Mark,Martinez,Finland,+250766666617,4,290,2021-01-25,396.0
37,Mark,Martinez,Finland,+250766666617,4,393,2020-06-11,396.0
38,Mark,Martinez,Finland,+250766666617,4,436,2021-05-09,1089.0
39,Mark,Martinez,Finland,+250766666617,4,499,2020-12-07,396.0
40,Mark,Martinez,Finland,+250766666617,4,543,2020-12-31,990.0
41,Mark,Martinez,Finland,+250766666617,4,558,2021-08-04,693.0
42,Kimberly,Martinez,Canada,+250766666639,4,25,2022-07-11,396.0
43,Kimberly,Martinez,Canada,+250766666639,4,39,2022-10-14,495.0
44,Kimberly,Martinez,Canada,+250766666639,4,67,2020-04-30,396.0
45,Kimberly,Martinez,Canada,+250766666639,4,103,2021-06-12,891.0
46,Kimberly,Martinez,Canada,+250766666639,4,154,2021-07-06,1089.0
47,Kimberly,Martinez,Canada,+250766666639,4,175,2020-09-25,99.0
48,Kimberly,Martinez,Canada,+250766666639,4,201,2020-11-05,1386.0
49,Kimberly,Martinez,Canada,+250766666639,4,373,2020-05-06,396.0
50,Kimberly,Martinez,Canada,+250766666639,4,503,2021-12-04,594.0
51,Debbie,Dominguez,Portugal,+250766666646,5,30,2022-07-15,594.0
52,Debbie,Dominguez,Portugal,+250766666646,5,86,2022-05-15,198.0
53,Debbie,Dominguez,Portugal,+250766666646,5,176,2020-08-29,1089.0
54,Debbie,Dominguez,Portugal,+250766666646,5,180,2023-07-08,792.0
55,Debbie,Dominguez,Portugal,+250766666646,5,197,2022-02-13,891.0
56,Debbie,Dominguez,Portugal,+250766666646,5,238,2020-05-26,1089.0
57,Debbie,Dominguez,Portugal,+250766666646,5,255,2022-10-15,594.0
58,Debbie,Dominguez,Portugal,+250766666646,5,401,2022-10-04,1089.0
59,Debbie,Dominguez,Portugal,+250766666646,5,451,2024-03-15,1485.0
60,Debbie,Dominguez,Portugal,+250766666646,5,454,2022-05-19,495.0
61,Debbie,Dominguez,Portugal,+250766666646,5,479,2020-05-17,792.0
62,Debbie,Dominguez,Portugal,+250766666646,5,539,2020-11-21,1089.0
63,Debbie,Dominguez,Portugal,+250766666646,5,604,2022-01-23,1089.0
64,Wendy,Brown,Canada,+250766666631,3,6,2022-11-23,792.0
65,Wendy,Brown,Canada,+250766666631,3,10,2023-05-24,990.0
66,Wendy,Brown,Canada,+250766666631,3,63,2024-02-11,1287.0
67,Wendy,Brown,Canada,+250766666631,3,70,2021-02-26,1386.0
68,Wendy,Brown,Canada,+250766666631,3,88,2021-02-28,1682.9999999999998
69,Wendy,Brown,Canada,+250766666631,3,105,2020-04-10,594.0
70,Wendy,Brown,Canada,+250766666631,3,394,2021-09-07,990.0
71,Wendy,Brown,Canada,+250766666631,3,404,2024-01-25,198.0
72,Wendy,Brown,Canada,+250766666631,3,453,2020-03-22,693.0
73,Wendy,Brown,Canada,+250766666631,3,538,2022-11-24,297.0
74,Wendy,Brown,Canada,+250766666631,3,594,2024-02-16,990.0
75,Brandi,Warner,USA,+250766666625,3,14,2023-04-23,891.0
76,Brandi,Warner,USA,+250766666625,3,143,2023-05-07,2376.0
77,Brandi,Warner,USA,+250766666625,3,179,2022-02-01,891.0
78,Brandi,Warner,USA,+250766666625,3,202,2020-12-20,594.0
79,Brandi,Warner,USA,+250766666625,3,300,2023-11-14,1980.0
80,Brandi,Warner,USA,+250766666625,3,331,2023-04-10,1188.0
81,Brandi,Warner,USA,+250766666625,3,468,2021-03-02,891.0
82,Brandi,Warner,USA,+250766666625,3,510,2020-05-31,297.0
83,Brandi,Warner,USA,+250766666625,3,514,2023-07-10,495.0
84,Brandi,Warner,USA,+250766666625,3,578,2023-08-10,198.0
85,Paul,Adams,USA,+250766666615,3,60,2023-06-22,99.0
86,Paul,Adams,USA,+250766666615,3,110,2023-05-10,891.0
87,Paul,Adams,USA,+250766666615,3,142,2020-05-26,495.0
88,Paul,Adams,USA,+250766666615,3,229,2020-07-05,594.0
89,Paul,Adams,USA,+250766666615,3,483,2022-02-10,891.0
90,Paul,Adams,USA,+250766666615,3,564,2023-10-27,495.0
91,Paul,Adams,USA,+250766666615,3,567,2022-11-09,990.0
92,Paul,Adams,USA,+250766666615,3,575,2022-05-04,990.0
93,Paul,Adams,USA,+250766666615,3,606,2023-07-26,1089.0
94,Richard,Williams,Brazil,+250766666659,5,8,2022-11-04,297.0
95,Richard,Williams,Brazil,+250766666659,5,37,2020-07-29,1188.0
96,Richard,Williams,Brazil,+250766666659,5,61,2024-03-27,990.0
97,Richard,Williams,Brazil,+250766666659,5,121,2021-09-12,396.0
98,Richard,Williams,Brazil,+250766666659,5,155,2022-01-03,1089.0
99,Richard,Williams,Brazil,+250766666659,5,220,2024-02-14,396.0
100,Richard,Williams,Brazil,+250766666659,5,599,2023-07-02,1188.0
101,Richard,Williams,Brazil,+250766666659,5,607,2024-02-28,99.0
102,Kristin,Martin,USA,+250766666637,5,40,2022-03-31,693.0
103,Kristin,Martin,USA,+250766666637,5,196,2021-05-19,1188.0
104,Kristin,Martin,USA,+250766666637,5,273,2021-03-26,792.0
105,Kristin,Martin,USA,+250766666637,5,308,2023-04-21,891.0
106,Kristin,Martin,USA,+250766666637,5,349,2024-03-15,99.0
107,Kristin,Martin,USA,+250766666637,5,426,2022-11-04,198.0
108,Kristin,Martin,USA,+250766666637,5,457,2023-09-17,495.0
109,Kristin,Martin,USA,+250766666637,5,485,2022-07-10,792.0
110,Kristin,Martin,USA,+250766666637,5,540,2023-06-04,990.0
111,Kristin,Martin,USA,+250766666637,5,566,2023-11-19,594.0
112,Ronald,Lee,France,+250766666638,4,11,2021-12-29,990.0
113,Ronald,Lee,France,+250766666638,4,59,2022-11-15,792.0
114,Ronald,Lee,France,+250766666638,4,203,2021-07-11,792.0
115,Ronald,Lee,France,+250766666638,4,239,2022-02-05,990.0
116,Ronald,Lee,France,+250766666638,4,259,2021-12-21,792.0
117,Ronald,Lee,France,+250766666638,4,264,2022-02-05,891.0
118,Ronald,Lee,France,+250766666638,4,363,2023-12-12,693.0
119,Ronald,Lee,France,+250766666638,4,435,2023-08-12,891.0
120,Ronald,Lee,France,+250766666638,4,508,2022-08-24,1682.9999999999998
121,Brian,Williams,Brazil,+250766666643,3,20,2020-05-19,990.0
122,Brian,Williams,Brazil,+250766666643,3,53,2020-04-06,891.0
123,Brian,Williams,Brazil,+250766666643,3,269,2021-03-28,495.0
124,Brian,Williams,Brazil,+250766666643,3,314,2024-02-04,495.0
125,Brian,Williams,Brazil,+250766666643,3,318,2022-09-04,396.0
126,Brian,Williams,Brazil,+250766666643,3,355,2020-09-22,198.0
127,Brian,Williams,Brazil,+250766666643,3,359,2024-03-13,891.0
128,Brian,Williams,Brazil,+250766666643,3,374,2022-04-01,792.0
129,Brian,Williams,Brazil,+250766666643,3,428,2020-09-24,1782.0
130,Brian,Williams,Brazil,+250766666643,3,481,2022-02-01,396.0
131,Brian,Williams,Brazil,+250766666643,3,489,2020-04-26,495.0
132,Brian,Williams,Brazil,+250766666643,3,512,2023-05-05,1089.0
133,Trevor,Smith,Canada,+250766666618,5,1,2020-12-14,693.0
134,Trevor,Smith,Canada,+250766666618,5,4,2021-03-01,792.0
135,Trevor,Smith,Canada,+250766666618,5,9,2023-04-23,891.0
136,Trevor,Smith,Canada,+250766666618,5,50,2022-06-26,1089.0
137,Trevor,Smith,Canada,+250766666618,5,187,2022-07-22,792.0
138,Trevor,Smith,Canada,+250766666618,5,372,2020-07-01,1188.0
139,Trevor,Smith,Canada,+250766666618,5,448,2022-07-25,1386.0
140,Trevor,Smith,Canada,+250766666618,5,486,2020-11-16,198.0
141,Laura,Stewart,France,+250766666658,4,33,2021-04-06,99.0
142,Laura,Stewart,France,+250766666658,4,82,2023-01-04,1386.0
143,Laura,Stewart,France,+250766666658,4,100,2020-10-07,297.0
144,Laura,Stewart,France,+250766666658,4,140,2022-03-01,693.0
145,Laura,Stewart,France,+250766666658,4,146,2021-12-01,198.0
146,Laura,Stewart,France,+250766666658,4,246,2024-01-23,1782.0
147,Laura,Stewart,France,+250766666658,4,285,2021-03-17,594.0
148,Laura,Stewart,France,+250766666658,4,294,2020-08-23,1089.0
149,Laura,Stewart,France,+250766666658,4,320,2022-04-01,693.0
150,Laura,Stewart,France,+250766666658,4,338,2024-02-25,1188.0
151,Laura,Stewart,France,+250766666658,4,473,2021-03-22,792.0
152,Laura,Stewart,France,+250766666658,4,506,2021-11-18,990.0
153,Laura,Stewart,France,+250766666658,4,541,2021-12-22,990.0
154,Elizabeth,Bryan,Poland,+250766666644,3,15,2020-07-14,396.0
155,Elizabeth,Bryan,Poland,+250766666644,3,48,2023-06-03,495.0
156,Elizabeth,Bryan,Poland,+250766666644,3,117,2021-05-15,1089.0
157,Elizabeth,Bryan,Poland,+250766666644,3,252,2024-01-25,792.0
158,Elizabeth,Bryan,Poland,+250766666644,3,266,2023-05-19,297.0
159,Elizabeth,Bryan,Poland,+250766666644,3,347,2022-05-21,594.0
160,Elizabeth,Bryan,Poland,+250766666644,3,350,2020-03-06,198.0
161,Elizabeth,Bryan,Poland,+250766666644,3,441,2021-11-22,1682.9999999999998
162,Elizabeth,Bryan,Poland,+250766666644,3,480,2022-12-11,1089.0
163,Elizabeth,Bryan,Poland,+250766666644,3,531,2021-04-11,99.0
164,Elizabeth,Bryan,Poland,+250766666644,3,601,2022-01-11,891.0
165,Tiffany,Stanton,Czech Republic,+250766666626,5,54,2023-08-25,990.0
166,Tiffany,Stanton,Czech Republic,+250766666626,5,74,2022-06-09,693.0
167,Tiffany,Stanton,Czech Republic,+250766666626,5,215,2022-03-01,792.0
168,Tiffany,Stanton,Czech Republic,+250766666626,5,274,2023-02-01,1386.0
169,Tiffany,Stanton,Czech Republic,+250766666626,5,307,2023-09-21,99.0
170,Tiffany,Stanton,Czech Republic,+250766666626,5,364,2022-05-04,1089.0
171,Tiffany,Stanton,Czech Republic,+250766666626,5,366,2020-10-13,495.0
172,Tiffany,Stanton,Czech Republic,+250766666626,5,386,2023-04-14,495.0
173,Tiffany,Stanton,Czech Republic,+250766666626,5,434,2024-03-28,891.0
174,Tiffany,Stanton,Czech Republic,+250766666626,5,494,2022-01-08,396.0
175,Tiffany,Stanton,Czech Republic,+250766666626,5,598,2023-11-29,1584.0
176,Tiffany,Stanton,Czech Republic,+250766666626,5,603,2022-07-09,495.0
177,Stephanie,Watkins,Netherlands,+250766666632,3,92,2022-05-13,891.0
178,Stephanie,Watkins,Netherlands,+250766666632,3,107,2020-08-28,1584.0
179,Stephanie,Watkins,Netherlands,+250766666632,3,126,2022-03-06,990.0
180,Stephanie,Watkins,Netherlands,+250766666632,3,432,2023-12-01,990.0
181,Stephanie,Watkins,Netherlands,+250766666632,3,519,2020-08-15,297.0
182,Stephanie,Watkins,Netherlands,+250766666632,3,546,2022-12-15,1188.0
183,Stephanie,Watkins,Netherlands,+250766666632,3,559,2021-06-24,792.0
184,Stephanie,Watkins,Netherlands,+250766666632,3,581,2023-05-03,99.0
185,Linda,Smith,USA,+250766666621,3,44,2022-03-12,1682.9999999999998
186,Linda,Smith,USA,+250766666621,3,89,2020-12-01,297.0
187,Linda,Smith,USA,+250766666621,3,167,2023-11-09,693.0
188,Linda,Smith,USA,+250766666621,3,169,2024-03-19,1089.0
189,Linda,Smith,USA,+250766666621,3,185,2023-03-25,297.0
190,Linda,Smith,USA,+250766666621,3,322,2023-10-12,792.0
191,Linda,Smith,USA,+250766666621,3,423,2021-02-05,594.0
192,Linda,Smith,USA,+250766666621,3,465,2020-11-06,396.0
193,Linda,Smith,USA,+250766666621,3,496,2024-03-24,495.0
194,Linda,Smith,USA,+250766666621,3,556,2022-07-25,1089.0
195,Linda,Smith,USA,+250766666621,3,602,2022-05-10,693.0
196,Steven,Everett,Germany,+250766666614,3,132,2023-03-29,990.0
197,Steven,Everett,Germany,+250766666614,3,233,2020-09-23,297.0
198,Steven,Everett,Germany,+250766666614,3,293,2021-11-22,792.0
199,Steven,Everett,Germany,+250766666614,3,321,2022-03-01,1089.0
200,Steven,Everett,Germany,+250766666614,3,370,2022-06-14,495.0
201,Steven,Everett,Germany,+250766666614,3,371,2024-02-19,1089.0
202,Steven,Everett,Germany,+250766666614,3,425,2020-07-08,693.0
203,Steven,Everett,Germany,+250766666614,3,469,2022-08-08,891.0
204,Steven,Everett,Germany,+250766666614,3,530,2020-09-13,594.0
205,Steven,Everett,Germany,+250766666614,3,609,2023-01-19,198.0
206,Chloe,Mcdonald,United Kingdom,+250766666651,3,36,2020-12-08,1782.0
207,Chloe,Mcdonald,United Kingdom,+250766666651,3,94,2022-02-09,693.0
208,Chloe,Mcdonald,United Kingdom,+250766666651,3,190,2022-03-20,1089.0
209,Chloe,Mcdonald,United Kingdom,+250766666651,3,191,2022-01-03,198.0
210,Chloe,Mcdonald,United Kingdom,+250766666651,3,211,2021-02-03,99.0
211,Chloe,Mcdonald,United Kingdom,+250766666651,3,398,2023-08-20,198.0
212,Chloe,Mcdonald,United Kingdom,+250766666651,3,399,2024-03-19,1188.0
213,Chloe,Mcdonald,United Kingdom,+250766666651,3,491,2020-09-07,990.0
214,Chloe,Mcdonald,United Kingdom,+250766666651,3,571,2020-08-31,198.0
215,Chloe,Mcdonald,United Kingdom,+250766666651,3,590,2021-10-12,594.0
216,Rachel,Burke,Denmark,+250766666619,4,42,2024-01-22,1089.0
217,Rachel,Burke,Denmark,+250766666619,4,51,2021-01-17,99.0
218,Rachel,Burke,Denmark,+250766666619,4,52,2023-08-13,396.0
219,Rachel,Burke,Denmark,+250766666619,4,57,2020-10-18,198.0
220,Rachel,Burke,Denmark,+250766666619,4,147,2020-06-03,693.0
221,Rachel,Burke,Denmark,+250766666619,4,231,2022-07-22,594.0
222,Rachel,Burke,Denmark,+250766666619,4,358,2023-09-02,891.0
223,Rachel,Burke,Denmark,+250766666619,4,490,2021-10-29,1682.9999999999998
224,Rachel,Burke,Denmark,+250766666619,4,505,2020-11-01,990.0
225,Laura,Kelley,Brazil,+250766666602,5,69,2023-03-23,99.0
226,Laura,Kelley,Brazil,+250766666602,5,131,2023-12-01,198.0
227,Laura,Kelley,Brazil,+250766666602,5,134,2022-03-01,396.0
228,Laura,Kelley,Brazil,+250766666602,5,162,2023-04-01,99.0
229,Laura,Kelley,Brazil,+250766666602,5,210,2022-02-25,990.0
230,Laura,Kelley,Brazil,+250766666602,5,222,2023-05-24,990.0
231,Laura,Kelley,Brazil,+250766666602,5,343,2021-12-29,1089.0
232,Laura,Kelley,Brazil,+250766666602,5,507,2021-02-17,297.0
233,Laura,Kelley,Brazil,+250766666602,5,549,2021-06-18,297.0
234,Laura,Kelley,Brazil,+250766666602,5,557,2023-09-09,1782.0
235,Laura,Kelley,Brazil,+250766666602,5,592,2021-01-15,693.0
236,Dorothy,Jacobson,USA,+250766666649,5,7,2021-08-24,990.0
237,Dorothy,Jacobson,USA,+250766666649,5,38,2023-01-15,1089.0
238,Dorothy,Jacobson,USA,+250766666649,5,164,2020-09-09,693.0
239,Dorothy,Jacobson,USA,+250766666649,5,216,2023-06-26,1782.0
240,Dorothy,Jacobson,USA,+250766666649,5,261,2021-02-16,594.0
241,Dorothy,Jacobson,USA,+250766666649,5,284,2022-09-25,792.0
242,Dorothy,Jacobson,USA,+250766666649,5,327,2020-12-29,792.0
243,Dorothy,Jacobson,USA,+250766666649,5,446,2021-06-30,594.0
244,Dorothy,Jacobson,USA,+250766666649,5,574,2021-05-31,99.0
245,Dorothy,Jacobson,USA,+250766666649,5,608,2020-10-07,495.0
246,Nathan,Jones,Spain,+250766666620,3,17,2020-05-14,792.0
247,Nathan,Jones,Spain,+250766666620,3,101,2022-09-20,1485.0
248,Nathan,Jones,Spain,+250766666620,3,159,2021-05-08,990.0
249,Nathan,Jones,Spain,+250766666620,3,199,2022-12-10,297.0
250,Nathan,Jones,Spain,+250766666620,3,204,2021-12-28,990.0
251,Nathan,Jones,Spain,+250766666620,3,219,2022-12-12,297.0
252,Nathan,Jones,Spain,+250766666620,3,245,2022-05-11,990.0
253,Nathan,Jones,Spain,+250766666620,3,282,2021-05-05,693.0
254,Nathan,Jones,Spain,+250766666620,3,420,2022-03-17,891.0
255,Nathan,Jones,Spain,+250766666620,3,443,2024-01-01,1485.0
256,Nathan,Jones,Spain,+250766666620,3,460,2024-01-06,891.0
257,Nathan,Jones,Spain,+250766666620,3,613,2021-02-27,198.0
258,Brandon,Robinson,Argentina,+250766666627,3,5,2020-07-07,495.0
259,Brandon,Robinson,Argentina,+250766666627,3,195,2023-08-01,1089.0
260,Brandon,Robinson,Argentina,+250766666627,3,209,2023-10-29,396.0
261,Brandon,Robinson,Argentina,+250766666627,3,217,2021-09-13,396.0
262,Brandon,Robinson,Argentina,+250766666627,3,247,2023-12-10,792.0
263,Brandon,Robinson,Argentina,+250766666627,3,286,2020-07-21,990.0
264,Brandon,Robinson,Argentina,+250766666627,3,487,2022-09-26,198.0
265,Brandon,Robinson,Argentina,+250766666627,3,562,2022-05-13,396.0
266,Brandon,Robinson,Argentina,+250766666627,3,573,2020-08-24,594.0
267,Gerald,Hart,Germany,+250766666629,5,120,2020-10-26,792.0
268,Gerald,Hart,Germany,+250766666629,5,332,2023-05-24,99.0
269,Gerald,Hart,Germany,+250766666629,5,362,2022-02-14,792.0
270,Gerald,Hart,Germany,+250766666629,5,600,2021-04-29,198.0
271,Steven,Matthews,Chile,+250766666655,3,26,2022-11-28,1089.0
272,Steven,Matthews,Chile,+250766666655,3,90,2020-03-16,990.0
273,Steven,Matthews,Chile,+250766666655,3,99,2021-08-23,1089.0
274,Steven,Matthews,Chile,+250766666655,3,356,2021-06-16,297.0
275,Steven,Matthews,Chile,+250766666655,3,427,2024-01-08,297.0
276,Steven,Matthews,Chile,+250766666655,3,430,2023-10-02,1188.0
277,Steven,Matthews,Chile,+250766666655,3,450,2021-07-16,495.0
278,Steven,Matthews,Chile,+250766666655,3,555,2021-11-15,990.0
279,Steven,Matthews,Chile,+250766666655,3,586,2023-06-26,891.0
280,Steven,Matthews,Chile,+250766666655,3,610,2020-07-08,594.0
281,Lee,Serrano,Canada,+250766666633,4,34,2023-08-24,594.0
282,Lee,Serrano,Canada,+250766666633,4,55,2023-04-07,1287.0
283,Lee,Serrano,Canada,+250766666633,4,85,2021-02-26,594.0
284,Lee,Serrano,Canada,+250766666633,4,136,2020-07-19,495.0
285,Lee,Serrano,Canada,+250766666633,4,138,2023-05-07,198.0
286,Lee,Serrano,Canada,+250766666633,4,144,2020-09-02,1089.0
287,Lee,Serrano,Canada,+250766666633,4,172,2024-03-31,1089.0
288,Lee,Serrano,Canada,+250766666633,4,295,2022-01-15,1089.0
289,Lee,Serrano,Canada,+250766666633,4,325,2022-07-31,1386.0
290,Lee,Serrano,Canada,+250766666633,4,433,2022-05-16,1089.0
291,Lee,Serrano,Canada,+250766666633,4,545,2022-02-23,792.0
292,Lee,Serrano,Canada,+250766666633,4,612,2022-10-19,495.0
293,Mark,Meyer,Italy,+250766666609,4,21,2023-12-17,396.0
294,Mark,Meyer,Italy,+250766666609,4,58,2023-12-31,99.0
295,Mark,Meyer,Italy,+250766666609,4,62,2020-07-13,594.0
296,Mark,Meyer,Italy,+250766666609,4,122,2023-09-11,198.0
297,Mark,Meyer,Italy,+250766666609,4,178,2022-01-21,495.0
298,Mark,Meyer,Italy,+250766666609,4,267,2023-10-26,594.0
299,Mark,Meyer,Italy,+250766666609,4,329,2023-06-14,1485.0
300,Mark,Meyer,Italy,+250766666609,4,354,2020-03-14,990.0
301,Mark,Meyer,Italy,+250766666609,4,411,2020-05-17,1386.0
302,Mark,Meyer,Italy,+250766666609,4,470,2023-10-16,99.0
303,Patrick,White,India,+250766666623,5,139,2021-11-22,198.0
304,Patrick,White,India,+250766666623,5,250,2021-04-27,594.0
305,Patrick,White,India,+250766666623,5,287,2023-01-17,1089.0
306,Patrick,White,India,+250766666623,5,323,2020-09-04,1188.0
307,Patrick,White,India,+250766666623,5,383,2023-07-27,99.0
308,Patrick,White,India,+250766666623,5,438,2024-02-21,495.0
309,Patrick,White,India,+250766666623,5,515,2021-10-13,990.0
310,Patrick,White,India,+250766666623,5,516,2023-07-05,198.0
311,Patrick,White,India,+250766666623,5,561,2021-03-01,693.0
312,Patrick,White,India,+250766666623,5,595,2022-12-05,990.0
313,Aaron,Morgan,Germany,+250766666603,5,31,2021-04-10,891.0
314,Aaron,Morgan,Germany,+250766666603,5,71,2020-08-14,99.0
315,Aaron,Morgan,Germany,+250766666603,5,125,2023-02-17,1485.0
316,Aaron,Morgan,Germany,+250766666603,5,248,2020-05-24,396.0
317,Aaron,Morgan,Germany,+250766666603,5,262,2020-06-14,792.0
318,Aaron,Morgan,Germany,+250766666603,5,342,2020-10-18,99.0
319,Aaron,Morgan,Germany,+250766666603,5,344,2020-04-20,396.0
320,Aaron,Morgan,Germany,+250766666603,5,419,2020-03-07,891.0
321,Aaron,Morgan,Germany,+250766666603,5,517,2022-11-14,1089.0
322,Brittany,Richards,Germany,+250766666604,5,24,2020-12-21,1682.9999999999998
323,Brittany,Richards,Germany,+250766666604,5,46,2022-05-09,990.0
324,Brittany,Richards,Germany,+250766666604,5,81,2021-11-26,891.0
325,Brittany,Richards,Germany,+250766666604,5,104,2022-04-24,495.0
326,Brittany,Richards,Germany,+250766666604,5,205,2023-02-08,891.0
327,Brittany,Richards,Germany,+250766666604,5,208,2022-10-06,99.0
328,Brittany,Richards,Germany,+250766666604,5,272,2023-02-02,693.0
329,Brittany,Richards,Germany,+250766666604,5,292,2021-01-08,198.0
330,Brittany,Richards,Germany,+250766666604,5,474,2022-12-12,990.0
331,Jennifer,Yates,Czech Republic,+250766666634,3,35,2022-09-11,990.0
332,Jennifer,Yates,Czech Republic,+250766666634,3,56,2020-08-22,1089.0
333,Jennifer,Yates,Czech Republic,+250766666634,3,137,2023-11-23,792.0
334,Jennifer,Yates,Czech Republic,+250766666634,3,194,2022-08-04,693.0
335,Jennifer,Yates,Czech Republic,+250766666634,3,224,2023-05-26,297.0
336,Jennifer,Yates,Czech Republic,+250766666634,3,301,2022-06-24,99.0
337,Jennifer,Yates,Czech Republic,+250766666634,3,390,2021-01-15,1089.0
338,Jennifer,Yates,Czech Republic,+250766666634,3,408,2023-05-18,1089.0
339,Jennifer,Yates,Czech Republic,+250766666634,3,449,2021-02-01,1188.0
340,Jennifer,Yates,Czech Republic,+250766666634,3,463,2022-01-16,1089.0
341,Jennifer,Yates,Czech Republic,+250766666634,3,497,2022-10-11,1089.0
342,Jennifer,Yates,Czech Republic,+250766666634,3,542,2020-08-29,1089.0
343,Jennifer,Yates,Czech Republic,+250766666634,3,572,2023-08-28,1089.0
344,Laurie,Hanson,France,+250766666642,5,12,2020-12-15,990.0
345,Laurie,Hanson,France,+250766666642,5,93,2023-03-26,990.0
346,Laurie,Hanson,France,+250766666642,5,148,2023-11-13,594.0
347,Laurie,Hanson,France,+250766666642,5,183,2022-03-24,99.0
348,Laurie,Hanson,France,+250766666642,5,226,2024-03-17,99.0
349,Laurie,Hanson,France,+250766666642,5,312,2022-03-02,297.0
350,Laurie,Hanson,France,+250766666642,5,385,2020-11-14,396.0
351,Laurie,Hanson,France,+250766666642,5,396,2024-02-08,594.0
352,Laurie,Hanson,France,+250766666642,5,458,2020-11-26,990.0
353,Laurie,Hanson,France,+250766666642,5,550,2020-04-28,891.0
354,Laurie,Hanson,France,+250766666642,5,596,2023-10-05,1287.0
355,Amy,Case,Australia,+250766666607,5,123,2022-05-14,1682.9999999999998
356,Amy,Case,Australia,+250766666607,5,225,2021-12-24,693.0
357,Amy,Case,Australia,+250766666607,5,251,2022-02-11,594.0
358,Amy,Case,Australia,+250766666607,5,337,2022-09-27,594.0
359,Amy,Case,Australia,+250766666607,5,410,2021-06-05,990.0
360,Amy,Case,Australia,+250766666607,5,462,2022-08-15,1089.0
361,Amy,Case,Australia,+250766666607,5,472,2021-08-11,297.0
362,Amy,Case,Australia,+250766666607,5,488,2020-06-20,1188.0
363,Amy,Case,Australia,+250766666607,5,553,2022-10-01,495.0
364,Richard,Cook,Brazil,+250766666630,3,2,2022-12-31,693.0
365,Richard,Cook,Brazil,+250766666630,3,32,2020-08-01,495.0
366,Richard,Cook,Brazil,+250766666630,3,87,2023-03-22,891.0
367,Richard,Cook,Brazil,+250766666630,3,108,2023-02-04,1089.0
368,Richard,Cook,Brazil,+250766666630,3,299,2022-04-21,495.0
369,Richard,Cook,Brazil,+250766666630,3,313,2020-09-29,198.0
370,Richard,Cook,Brazil,+250766666630,3,391,2021-01-31,693.0
371,Richard,Cook,Brazil,+250766666630,3,466,2020-11-02,990.0
372,Richard,Cook,Brazil,+250766666630,3,525,2023-09-24,1188.0
373,Richard,Cook,Brazil,+250766666630,3,548,2023-03-31,297.0
374,Richard,Cook,Brazil,+250766666630,3,552,2021-01-29,693.0
375,Richard,Cook,Brazil,+250766666630,3,554,2020-04-12,198.0
